Date,Open,High,Low,Close,Volume
8/29/2019 16:00:00,297.48,297.73,292.76,296.57,2614701
8/30/2019 16:00:00,298,298.28,292.83,294.76,1801420
9/3/2019 16:00:00,292.57,294,290.46,292.05,1843045
9/4/2019 16:00:00,294,296.3,293.77,296.12,1376086
9/5/2019 16:00:00,298.43,299.71,296.68,296.97,1865731
9/6/2019 16:00:00,299.2,304.64,298.29,303.76,3018101
9/9/2019 16:00:00,304.5,307.34,298.21,299,3397183
9/10/2019 16:00:00,297.38,298.25,294.58,297,2724986
9/11/2019 16:00:00,294.3,295.74,287.81,290.69,4754696
9/12/2019 16:00:00,290.34,292.75,288.68,289.89,2942632
9/13/2019 16:00:00,290.2,294.07,289.85,291.9,2306343
9/16/2019 16:00:00,290.57,291.38,288.34,288.69,1508893
9/17/2019 16:00:00,289.56,291.79,288.69,291.41,1776040
9/18/2019 16:00:00,290.7,293.57,288.8,292.43,1687336
9/19/2019 16:00:00,289.49,289.76,284.71,287.83,3055125
9/20/2019 16:00:00,288.75,289.41,286.14,286.36,3473365
9/23/2019 16:00:00,286.36,288.13,285.75,287.57,2058102
9/24/2019 16:00:00,289.3,292.62,286.4,287.91,2495624
9/25/2019 16:00:00,288.26,289.68,286.87,288.51,1848371
9/26/2019 16:00:00,289.43,289.81,286.6,288.26,1891317
9/27/2019 16:00:00,289.53,289.53,284.4,285.95,1538930
9/30/2019 16:00:00,287.7,288.62,286.57,288.11,2179096
10/1/2019 16:00:00,288.04,288.68,283.18,283.93,2654476
10/2/2019 16:00:00,283.23,285.79,282.22,285.11,2506362
10/3/2019 16:00:00,285.39,290.86,281.6,289,3958168
10/4/2019 16:00:00,287.85,291.95,283.32,291.67,4536695
10/7/2019 16:00:00,291.04,295.69,290.5,293.41,2051519
10/8/2019 16:00:00,292.95,295.58,290.45,291.89,2224561
10/9/2019 16:00:00,293.11,298.57,293.11,296.9,2287230
10/10/2019 16:00:00,298.63,299.48,296.26,297.14,1721504
10/11/2019 16:00:00,298.07,300.76,297.36,297.6,1891654
10/14/2019 16:00:00,298,300.34,297.5,297.52,1313041
10/15/2019 16:00:00,298.32,299.64,297.23,298.39,1601860
10/16/2019 16:00:00,296.8,298.97,295.08,298.78,1827669
10/17/2019 16:00:00,298.85,302.61,298.85,302.4,1811818
10/18/2019 16:00:00,302,304,300.98,302.86,1853976
10/21/2019 16:00:00,303,303.51,300.17,301.08,1395154
10/22/2019 16:00:00,301.61,304.88,299.95,299.97,1970748
10/23/2019 16:00:00,299.58,300.05,297.18,297.32,1810559
10/24/2019 16:00:00,295.05,298.28,294.56,297.05,2117020
10/25/2019 16:00:00,295.52,297.25,295.11,296.5,1686226
10/28/2019 16:00:00,295.7,299.09,295.21,298.94,1672606
10/29/2019 16:00:00,298.21,298.94,295.81,295.86,1295287
10/30/2019 16:00:00,296.92,300.25,295.97,299.84,1264263
10/31/2019 16:00:00,298.36,299.62,294.55,297.11,2277444
11/1/2019 16:00:00,297.99,298.42,295.5,296.09,1364483
11/4/2019 16:00:00,297.16,298.22,295.17,296.82,1651608
11/5/2019 16:00:00,297.09,299.69,295.81,299.18,2204542
11/6/2019 16:00:00,299.97,301.65,297.93,301.57,1675008
11/7/2019 16:00:00,303.93,307.1,302.48,305.21,2399391
11/8/2019 16:00:00,302.74,304.29,301.28,302.62,1502221
11/11/2019 16:00:00,301.55,302.33,299.7,300.84,1160960
11/12/2019 16:00:00,300.83,302.73,298.66,300.5,1540974
11/13/2019 16:00:00,300.18,304,299.52,302.9,1554889
11/14/2019 16:00:00,304.39,305.89,302.27,304.59,1337458
11/15/2019 16:00:00,305.31,305.44,301.6,303.66,1707125
11/18/2019 16:00:00,303.11,306.38,302.75,304.54,1242504
11/19/2019 16:00:00,304.5,304.64,301.45,302.24,1761832
11/20/2019 16:00:00,302.44,303.17,298.01,300.57,1979783
11/21/2019 16:00:00,300.69,301.87,299.52,300.27,1303042
11/22/2019 16:00:00,301.94,301.94,297.23,299.31,1277594
11/25/2019 16:00:00,300.29,300.63,297.55,299.05,1613126
11/26/2019 16:00:00,299.26,301.35,298.82,301.24,3360612
11/27/2019 16:00:00,301.82,302.79,300.57,300.76,1907095
11/29/2019 13:00:00,300.82,300.89,299.66,299.81,981610
12/2/2019 16:00:00,299.75,300.2,294.27,297.39,2706951
12/3/2019 16:00:00,295.13,296.19,292.7,295.67,1962133
12/4/2019 16:00:00,296.04,297.16,295.15,296.52,1742589
12/5/2019 16:00:00,297.13,297.13,292.5,293.1,1941250
12/6/2019 16:00:00,294.98,295.99,294.26,294.95,1462553
12/9/2019 16:00:00,295,297.19,294.55,295.16,1986336
12/10/2019 16:00:00,296.03,296.69,294.55,295.78,1566311
12/11/2019 16:00:00,296,296.35,293.05,295.3,1752457
12/12/2019 16:00:00,295.27,297.76,294.12,297.34,2754453
12/13/2019 16:00:00,294.64,295,289.1,291.87,5204305
12/16/2019 16:00:00,293.03,294.46,292.85,293.5,2410244
12/17/2019 16:00:00,293.5,296.3,292.75,295.55,2474762
12/18/2019 16:00:00,295.99,296.36,291.82,291.87,3311187
12/19/2019 16:00:00,292.06,293.81,291.5,293.71,2595501
12/20/2019 16:00:00,293.85,295.02,292.78,294.83,4866674
12/23/2019 16:00:00,294.91,295.31,293.03,293.31,1309886
12/24/2019 13:00:00,293.91,294.45,293.36,294.23,543581
12/26/2019 16:00:00,294.49,295.73,293.9,295.73,1103034
12/27/2019 16:00:00,296.22,296.3,293.18,294.11,1439479
12/30/2019 16:00:00,294.2,295.61,293.66,295.14,1238990
12/31/2019 16:00:00,295,295.45,292.18,293.92,1551191
1/2/2020 16:00:00,294.06,294.58,291,291.49,2052922
1/3/2020 16:00:00,290.05,292.9,289.33,291.73,1926624
1/6/2020 16:00:00,290.55,292.07,288.62,291.81,2655433
1/7/2020 16:00:00,291.32,291.69,289.28,291.35,1971494
1/8/2020 16:00:00,290.99,295.48,290.5,294.69,2495438
1/9/2020 16:00:00,298.55,301.96,297.71,299.42,3262225
1/10/2020 16:00:00,300,300.27,296.66,297.24,2025220
1/13/2020 16:00:00,296.92,300.65,296.8,299.87,1779744
1/14/2020 16:00:00,299.25,301,298.58,299.75,1460562
1/15/2020 16:00:00,298.35,301.04,298.04,300.82,1604433
1/16/2020 16:00:00,301.39,304.06,300.98,303.03,1758762
1/17/2020 16:00:00,303.4,305.3,303.03,304.68,2506588
1/21/2020 16:00:00,306.2,313.34,305.76,313.26,3585918
1/22/2020 16:00:00,313.4,313.56,310.21,311.89,2219022
1/23/2020 16:00:00,312.02,313.4,310.73,312.88,1535973
1/24/2020 16:00:00,314.02,314.28,309.1,310.51,1986279
1/27/2020 16:00:00,306.15,311.77,305.65,309.45,2265350
1/28/2020 16:00:00,310.51,311.71,309.1,310.85,1571672
1/29/2020 16:00:00,310.86,311.97,309.39,309.58,1714823
1/30/2020 16:00:00,308.84,309.64,306.67,309.47,1232855
1/31/2020 16:00:00,308.55,309.18,304.56,305.52,1836994
2/3/2020 16:00:00,307,308.58,301.67,302,2817541
2/4/2020 16:00:00,304.57,305.91,302.76,304.9,1982323
2/5/2020 16:00:00,307,309.59,305.4,308.95,1731802
2/6/2020 16:00:00,309.35,311.84,307.85,310.61,1917896
2/7/2020 16:00:00,310,313.81,309.12,313.63,1903467
2/10/2020 16:00:00,313.76,316.94,312.6,313.79,2336523
2/11/2020 16:00:00,314.03,314.43,310.47,310.68,2047510
2/12/2020 16:00:00,310.77,315.48,310.77,315.12,1384611
2/13/2020 16:00:00,314.85,318.79,313.54,318.2,1438248
2/14/2020 16:00:00,318.87,319.81,316.95,318.31,1113716
2/18/2020 16:00:00,319,323.48,318.61,322.05,1547929
2/19/2020 16:00:00,322.08,324.53,321.73,323.02,1413768
2/20/2020 16:00:00,322.32,325.07,321.01,324.08,1427524
2/21/2020 16:00:00,322.56,325.26,321.03,321.95,2239230
2/24/2020 16:00:00,315.5,320,313.26,313.62,2300379
